joss_id,title,language,dependencies,predicted_categories,ground_truth,reasoning,success,error
1361,SMACT: Semiconducting Materials by Analogy and Chemical Theory,Python,"['ElementEmbeddings', 'accessible-pygments', 'adjusttext', 'aioitertools', 'alabaster', 'annotated-types', 'anyio', 'appnope', 'argon2-cffi', 'argon2-cffi-bindings', 'arrow', 'ase', 'asttokens', 'async-lru', 'attrs', 'babel', 'bcrypt', 'beautifulsoup4', 'black', 'blacken-docs']","['Data Analytics', 'Integrative Analysis', 'Ris', 'Software', 'Ui', 'Process']","['Data Analytics', 'Hardware', 'Integrative Analysis', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
4633,GNU Data Language 1.0: a free/libre and open-source drop-in replacement for IDL/PV-WAVE,C++,"['Curses', 'EXPAT', 'Eigen3', 'FFTW', 'Freetype', 'GLPK', 'GSL', 'GeoTIFF', 'Git', 'GraphicsMagick', 'Grib', 'HDF', 'HDF5', 'ImageMagick', 'LIBPROJ', 'MPI', 'NetCDF', 'OpenMP', 'PCRE', 'PNG']","['Data Analytics', 'Modeling And Simulation', 'Ris', 'Software', 'Process']","['Data Analytics', 'Hardware', 'Integrative Analysis', 'Modeling And Simulation', 'Ris', 'Software', 'Ui']",,True,
7291,COHESIVM: Combinatorial h+/e- Sample Investigation using Voltaic Measurements,Python,"['alabaster', 'asttokens', 'babel', 'bqplot', 'certifi', 'charset-normalizer', 'colorama', 'comm', 'contourpy', 'cycler', 'decorator', 'docutils', 'exceptiongroup', 'executing', 'fonttools', 'h5py', 'idna', 'imagesize', 'importlib-metadata', 'importlib-resources']","['Data Analytics', 'Hardware', 'Ris', 'Software', 'Process']","['Data Analytics', 'Hardware', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
7155,Caliscope: GUI Based Multicamera Calibration and Motion Tracking,Python,"['PyOpenGL', 'absl-py', 'appnope', 'asttokens', 'attrs', 'babel', 'backrefs', 'caliscope', 'certifi', 'cffi', 'cfgv', 'charset-normalizer', 'click', 'colorama', 'comm', 'contourpy', 'cycler', 'debugpy', 'decorator', 'distlib']","['Data Analytics', 'Integrative Analysis', 'Ris', 'Software', 'Ui', 'Process']","['Data Analytics', 'Hardware', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
4045,Octopus Sensing: A Python library for human behavior studies,Python,"['PyGObject', 'alabaster', 'babel', 'bitstring', 'bluepy', 'brainflow', 'certifi', 'cffi', 'charset-normalizer', 'colorama', 'contourpy', 'coverage', 'cycler', 'cython', 'docutils', 'exceptiongroup', 'fonttools', 'heartpy', 'homepage', 'idna']","['Data Analytics', 'Ris', 'Software', 'Process']","['Data Analytics', 'Hardware', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
6515,"Pybehave: a hardware agnostic, Python-based framework for controlling behavioral neuroscience experiments",Python,"['PyQt5', 'hikload', 'imutils', 'matplotlib', 'mkdocs', 'msgspec', 'nidaqmx', 'numpy', 'opencv-python', 'psutil', 'pygame', 'pyserial', 'pywin32', 'pyzmq', 'qasync', 'screeninfo']","['Hardware', 'Ris', 'Software', 'Ui', 'Process']","['Data Analytics', 'Hardware', 'Modeling And Simulation', 'Ris', 'Software', 'Ui']",,True,
5854,"PhysioLabXR: A Python Platform for Real-Time, Multi-modal, Brain–Computer Interfaces and Extended Reality Experiments",Python,"['PyOpenGL', 'PyOpenGL_accelerate', 'PyQt6', 'brainflow', 'grpcio', 'grpcio-tools', 'imblearn', 'matplotlib', 'numba', 'numpy', 'opencv-python', 'psutil', 'pylsl', 'pyqtgraph', 'pyscreeze', 'pyserial', 'pytest-qt', 'pyxdf', 'pyzmq', 'scikit-learn']","['Data Analytics', 'Hardware', 'Ris', 'Software', 'Ui', 'Process']","['Data Analytics', 'Hardware', 'Modeling And Simulation', 'Ris', 'Software', 'Ui']",,True,
4115,Cabana: A Performance Portable Library for Particle-Based Simulations,C++,"['CLANG_FORMAT', 'Doxygen', 'GTest', 'Git', 'HDF5', 'Kokkos', 'benchmark', 'core', 'core_tutorial', 'example', 'grid', 'grid_tutorial', 'performance_test', 'src', 'unit_test']","['Modeling And Simulation', 'Ris', 'Software', 'Process']","['Data Analytics', 'Hardware', 'Ris', 'Software', 'Software Analytics']",,True,
6876,eVAS: A user-friendly electronic Visual Analogue Scale,Python,"['Jinja2', 'MarkupSafe', 'Pillow', 'PyAutoGUI', 'PyYAML', 'altgraph', 'packaging', 'pefile', 'psutil', 'pyinstaller', 'pyinstaller-hooks-contrib', 'pyinstaller_versionfile', 'pynput', 'pyserial', 'python-dateutil', 'pywin32-ctypes', 'requests', 'screeninfo', 'setuptools', 'six']","['Data Analytics', 'Ris', 'Software', 'Ui', 'Process']","['Data Analytics', 'Hardware', 'Ris', 'Software', 'Ui']",,True,
5182,Lightshow: a Python package for generating computational x-ray absorption spectroscopy input files,Python,"['aioitertools', 'alabaster', 'annotated-types', 'anyio', 'appnope', 'argon2-cffi', 'argon2-cffi-bindings', 'arrow', 'ase', 'asttokens', 'async-lru', 'attrs', 'babel', 'bcrypt', 'beautifulsoup4', 'bleach', 'boto3', 'botocore', 'certifi', 'cffi']","['Data Analytics', 'Modeling And Simulation', 'Ris', 'Software', 'Process']","['Data Analytics', 'Integrative Analysis', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",,True,
